Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Mesas,Desde,Hasta,Electores
1,CAPITAL,1,SECCIONAL PRIMERA,CENTRO EDUC.NIVEL MEDIO ADULTO - DEAN FUNES 417,7,1,7,2408
1,CAPITAL,1,SECCIONAL PRIMERA,ESC NUESTRA SEÑORA DEL HUERTO - BELGRANO 269,12,8,19,4119
1,CAPITAL,1,SECCIONAL PRIMERA,COL NAC DE MONSERRAT - OBISPO TREJO 294,17,20,36,5831
1,CAPITAL,1,SECCIONAL PRIMERA,ESC SANTA TERESA DE JESUS - OBISPO TREJO Y SANABRIA 160,10,37,46,3430
1,CAPITAL,2,SECCIONAL SEGUNDA,ESC JUAN BAUTISTA ALBERDI - GRAL PAZ 486,17,47,63,5693
1,CAPITAL,3,SECCIONAL TERCERA,ESC JERONIMO LUIS DE CABRERA - SANTA ROSA 650,14,64,77,4830
1,CAPITAL,3,SECCIONAL TERCERA,IPEM N° 270 GRAL M BELGRANO - DEAN FUNES 850,10,78,87,3450
1,CAPITAL,3,SECCIONAL TERCERA,ESC SANTO TOMAS - CASEROS 745,8,88,95,2756
1,CAPITAL,3,SECCIONAL TERCERA,ESC NORMAL ALEJANDRO CARBO - AV COLON 951,13,96,108,4472
1,CAPITAL,3,SECCIONAL TERCERA,ESC MARIANO MORENO - SANTA ROSA ESQ SANTA FE,13,109,121,4472
1,CAPITAL,4,NUEVA CORDOBA,ENET N° 3 LEOPOLDO LUGONES - ITUZAINGO 483,12,122,133,4128
1,CAPITAL,4,NUEVA CORDOBA,COL NACIONAL DEAN FUNES - PERU 10,20,134,153,6880
1,CAPITAL,4,NUEVA CORDOBA,ESC GDOR ALVAREZ - C ARENAL 699 B°R MARTINEZ,11,154,164,3784
1,CAPITAL,4,NUEVA CORDOBA,FAC DE CIENCIAS ECONOMICAS - AV VALPARAISO CDAD UNIVERSITARIA,16,165,180,5495
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC ERNESTO BANCALARI - MONTERROSO 4597 B° ARTIGAS,7,181,187,2373
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC ALMAFUERTE - CHANETON 390 B° SAN FERNANDO,7,188,194,2373
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC COM R ECHEGOYEN - J I DIAZ 200 B° EJERCITO ARGENTINO,8,195,202,2708
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC SAN FRANCISCO DE ASIS - GUARDADO 184 B°LAS FLORES,29,203,231,9802
1,CAPITAL,4B,VILLA REVOL,INST EDUC NTRA SEÑORA - INCA MANCO 3450 - B°JARDIN ESPINOSA,22,232,253,7464
