Seccion,SeccionNombre,Circuito,CircuitoNombre,Mesa,Establecimiento,Domicilio,TipoMesa,CantElectores,Secc-Circuito
1,Capital,1,SECCIONAL PRIMERA,1,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,340,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,2,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,3,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,4,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,5,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,346,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,6,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,7,CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,8,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,9,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,346,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,10,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,11,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,343,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,12,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,13,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,342,1-1 Capital - SECCIONAL PRIMERA
1,Capital,1,SECCIONAL PRIMERA,14,ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,Mixto,344,1-1 Capital - SECCIONAL PRIMERA
