opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,partido_orden,categoria_nombre,categoria_slug,distrito_nro,categoria_prioridad,secciones_list
276,1,UNIDAD DE LA IZQUIERDA,UNIDAD DE LA IZQUIERDA,MOVIMIENTO AVANZADA SOCIALISTA,MOVIMIENTO AVANZADA SOCIALISTA,,,1,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
79,2,SOMOS RENOVADORES,SOMOS RENOVADORES,PARTIDO RENOVADOR FEDERAL,PARTIDO RENOVADOR FEDERAL,,,2,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
88/816,3,POR LA VIDA,POR LA VIDA,PARTIDO DIGNIDAD POPULAR,PARTIDO DIGNIDAD POPULAR,,,3,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
131/1911,4,LINEA UNICA,LINEA UNICA,ALIANZA FRENTE NOS,ALIANZA FRENTE NOS,,,4,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
865,5,LISTA LEALTAD,LISTA LEALTAD,PARTIDO FRENTE PATRIOTA,PARTIDO FRENTE PATRIOTA,,,5,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
133,6,LISTA - UNIDAD,LISTA - UNIDAD,"ALIANZA, FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD","ALIANZA, FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD",,,6,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
135,7,1 A AMARILLO,1 A AMARILLO,ALIANZA JUNTOS POR EL CAMBIO,ALIANZA JUNTOS POR EL CAMBIO,,,7,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
136/503,8,CELESTE Y BLANCA 2,CELESTE Y BLANCA 2,ALIANZA FRENTE DE TODOS,ALIANZA FRENTE DE TODOS,,,8,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
137A,9,HAY CONSENSO,HAY CONSENSO,ALIANZA CONSENSO FEDERAL,ALIANZA CONSENSO FEDERAL,,,9,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
244,10,LEALTAD,LEALTAD,PARTIDO LEALTAD Y DIGNIDAD,PARTIDO LEALTAD Y DIGNIDAD,,,10,Diputados prov. 1ra sección,DP1Seccion,2,20000,"16,35,45,51,52,53,71,75,76,77,79,80,81,89,105,106,110,113,118,122,129,130,133,134"
