opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,candidatos,partido_orden,categoria_nombre,categoria_slug,categoria_prioridad,extranjeros
13,1,13 Lista 1 A unidad de la izquierda,13 Lista 1 A unidad de la izquierda,Movimiento al socialismo,Movimiento al socialismo,13,,MANUELA JIMENA CASTAÑEIRA,1,Presidente-Vice,P,2,0
36,2,36 A valores y experiencia,36 A valores y experiencia,PARTIDO AUTONOMISTA,PARTIDO AUTONOMISTA,36,,JOSE ANTONIO ROMERO FERIS,2,Presidente-Vice,P,2,0
57,3,57 compromiso vecinal lista a,57 compromiso vecinal lista a,MOVIMIENTO DE ACCIÓN VECINAL,MOVIMIENTO DE ACCIÓN VECINAL,57,,RAUL HUMBERTO ALBARRACIN,3,Presidente-Vice,P,2,0
87,4,87 lista a despertar,87 lista a despertar,Unite por la Libertad y la Dignidad,Unite por la Libertad y la Dignidad,87,,JOSE LUIS ESPERT,4,Presidente-Vice,P,2,0
131,5,131 A - Celeste 2019,131 A - Celeste 2019,frente nos,frente nos,131,,JUAN JOSE GOMEZ CENTURION,5,Presidente-Vice,P,2,0
132,6,132 A- Celeste,132 A- Celeste,frente patriota,frente patriota,132,,ALEJANDRO CARLOS BIONDINI,6,Presidente-Vice,P,2,0
133,7,133 Unidad A,133 Unidad A,frente de izquierda de trabajadores,frente de izquierda de trabajadores,133,,NICOLAS DEL CAÑO,7,Presidente-Vice,P,2,0
135,8,135 A Juntos Somos el cambio,135 A Juntos Somos el cambio,juntos por el cambio,juntos por el cambio,135,#FFCD00,MAURICIO MACRI,8,Presidente-Vice,P,2,0
136,9,136 A - Celeste y Blanca,136 A - Celeste y Blanca,frente de todos,frente de todos,136,#00A8E4,ALBERTO ANGEL FERNANDEZ,9,Presidente-Vice,P,2,0
137,10,137 A - Consenso para el futuro,137 A - Consenso para el futuro,consenso federal,consenso federal,137,#031F73,ROBERTO LAVAGNA,10,Presidente-Vice,P,2,0
