opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,distrito,categoria_nombre,partido_orden,categoria_slug,distrito_nro,categoria_prioridad,extranjeros
5,1,CIUDAD CELESTE POR LA VIDA Y LA FAMILIA,CIUDAD CELESTE POR LA VIDA Y LA FAMILIA,Partido Democrata Cristiano,Partido Democrata Cristiano,5,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,1,DN1,1,20000,0
13,2,Lista 1A Unidad de la izquierda,Lista 1A Unidad de la izquierda,Movimiento al Socialismo,Movimiento al Socialismo,13,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,2,DN1,1,20000,0
86,3,Lista -A- Nueva Corriente,Lista -A- Nueva Corriente,Frente Renovador Autentico,Frente Renovador Autentico,333,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,3,DN1,1,20000,0
87,4,ola celeste,ola celeste,Unite por la Libertad y la Dignidad,Unite por la Libertad y la Dignidad,179,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,4,DN1,1,20000,0
88,5,LIBERACION,LIBERACION,Dignidad Popular,Dignidad Popular,342,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,5,DN1,1,20000,0
132-262,6,Lista A - Celeste,Lista A - Celeste,El Movimiento,El Movimiento,262,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,6,DN1,1,20000,0
133-501,7,unidad,unidad,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,501,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,7,DN1,1,20000,0
135-503,8,Lista A - Juntos somos el cambio,Lista A - Juntos somos el cambio,Juntos por el Cambio,Juntos por el Cambio,135,#FFCD00,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,8,DN1,1,20000,0
136-502,9,Lista A - Celeste y Blanca,Lista A - Celeste y Blanca,Frente de Todos,Frente de Todos,136,#00A8E4,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,9,DN1,1,20000,0
137-504,10,CONSENSO PARA EL FUTURO,CONSENSO PARA EL FUTURO,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,10,DN1,1,20000,0
187,11,"187-A ""QUE LOS PUEBLOS MANDEN""","187-A ""QUE LOS PUEBLOS MANDEN""",Autodeterminación y Libertad,Autodeterminación y Libertad,187,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,11,DN1,1,20000,0
343,12,MISION CELESTE,MISION CELESTE,Movimiento de Jubilados y Juventud,Movimiento de Jubilados y Juventud,343,,Ciudad Autónoma de Buenos Aires,Diputados Nacionales,12,DN1,1,20000,0
13,1,UNIDAD DE LA IZQUIERDA,UNIDAD DE LA IZQUIERDA,Movimiento al Socialismo,Movimiento al Socialismo,13,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,13,JG1,1,20000,0
87,2,dignidad,dignidad,Unite por la Libertad y la Dignidad,Unite por la Libertad y la Dignidad,179,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,14,JG1,1,20000,0
88,3,LIBERACION,LIBERACION,Dignidad Popular,Dignidad Popular,88,,Ciudad Autónoma de Buenos Aires,Jefe de Gobierno,15,JG1,1,20000,0
