orden,distrito_nro,seccion_nro,circuito_nro,escuela_nro,escuela,direccion,localidad,desde,hasta,cant_mesas,seccion_politica,electores,latitud,longitud
1,1,1,1,32493,ESC Nº26 HIPOLITO YRIGOYEN,SAN JUAN AV 353,CIUDAD DE BUENOS AIRES,1,12,12,,4200,-34.621698,-58.370293
3,1,1,1,32498,INST MARIA AUXILIADORA,AV JUAN DE GARAY 556 S/N,CIUDAD DE BUENOS AIRES,13,20,8,,2800,-34.624473,-58.373523
2,1,1,1,32501,ESC Nº3 BERNARDINO RIVADAVIA,BOLIVAR 1235,CIUDAD DE BUENOS AIRES,21,30,10,,3500,-34.622409,-58.372808
6,1,1,2,32505,ESC Nº1 VALENTIN GOMEZ,INDEPENDENCIA AV 758,CIUDAD DE BUENOS AIRES,31,38,8,,2800,-34.617499,-58.376773
5,1,1,2,32509,ESC GUILLERMO RAWSON,HUMBERTO I 343,CIUDAD DE BUENOS AIRES,39,47,9,,3150,-34.620672,-58.370586
4,1,1,2,32518,COLEGIO NAC Nº7 J M PUEYRREDON,CHACABUCO 922,CIUDAD DE BUENOS AIRES,48,53,6,,2100,-34.618785,-58.375834
7,1,1,2,32521,ESC Nº21 HIPOLITO VIEYTES,PERU 946,CIUDAD DE BUENOS AIRES,54,58,5,,1750,-34.617499,-58.376773
8,1,1,3,32525,UNIVERSIDAD CATOLICA ARGENTINA,MOREAU DE JUSTO ALICIA AV 1400,CIUDAD DE BUENOS AIRES,59,65,7,,2450,-34.614459,-58.366044
9,1,1,4,32529,UNIVERSIDAD CATOLICA ARGENTINA,MOREAU DE JUSTO ALICIA AV 1400,CIUDAD DE BUENOS AIRES,66,72,7,,2450,-34.614459,-58.366044
11,1,1,5,32534,ESC Nº25 BANDERA ARGENTINA,EE UU DEL BRASIL / ANT ARGENTINA AV S/N,CIUDAD DE BUENOS AIRES,73,89,17,,5950,-34.589218,-58.371007
10,1,1,5,32539,ESC DE ED MEDIA Nº6 PADRE C MUGICA,LETONIA / ANT ARGENTINA AV S/N,CIUDAD DE BUENOS AIRES,90,98,9,,3150,-34.589218,-58.371007
13,1,1,6,32544,ESC DE COM Nº2 D F SARMIENTO,AV PTE MANUEL QUINTANA 7 / 31,CIUDAD DE BUENOS AIRES,99,116,18,,6300,-34.59258,-58.384563
12,1,1,6,32556,COLEGIO NAC Nº2 D F SARMIENTO,LIBERTAD 1257,CIUDAD DE BUENOS AIRES,117,134,18,,6300,-34.59258,-58.384563
14,1,1,6,32559,INST SUPERIOR DE LENGUAS VIVAS,C PELLEGRINI 1515,CIUDAD DE BUENOS AIRES,135,143,9,,3150,-34.590318,-58.3813
15,1,1,7,32563,COLEGIO JESUS MARIA,TALCAHUANO 1260,CIUDAD DE BUENOS AIRES,144,147,4,,1400,-34.593661,-58.386028
17,1,1,7,32567,USAL FACULTAD DE PSICOLOGIA,M T DE ALVEAR 1335,CIUDAD DE BUENOS AIRES,148,162,15,,5250,-34.596958,-58.386205
16,1,1,7,32571,UNIV DE CS SOCIALES Y EMPRESARIALES,PARAGUAY 1318,CIUDAD DE BUENOS AIRES,163,167,5,,1750,-34.598235,-58.385891
19,1,1,8,32575,ESC Nº6 FRENCH Y BERUTI,BASAVILBASO 1295 / JUNCAL 690,CIUDAD DE BUENOS AIRES,168,183,16,,5600,-34.593126,-58.377147
18,1,1,8,32579,COLEGIO SAN MARON,PARAGUAY 834,CIUDAD DE BUENOS AIRES,184,192,9,,3150,-34.59771,-58.378821
21,1,1,9,32582,ESC Nº13 GRAL SAN MARTIN,SAN MARTIN 458,CIUDAD DE BUENOS AIRES,193,205,13,,4550,-34.602665,-58.373915
22,1,1,9,32587,ESC Nº4 DE CATEDRAL J M ESTRADA,RECONQUISTA 461,CIUDAD DE BUENOS AIRES,206,214,9,,3150,-34.602444,-58.372465
20,1,1,9,32589,COLEGIO DE NTRA SEÑORA,ESMERALDA 759,CIUDAD DE BUENOS AIRES,215,225,11,,3850,-34.599376,-58.378211
23,1,1,10,32593,ESC Nº7 PDTE ROCA,LIBERTAD 581,CIUDAD DE BUENOS AIRES,226,235,10,,3500,-34.601734,-58.383791
24,1,1,10,32597,ESC Nº8 NICOLAS AVELLANEDA,TALCAHUANO 680,CIUDAD DE BUENOS AIRES,236,249,14,,4900,-34.600817,-58.38542
25,1,1,10,32599,ESC TEC Nº19 ALEJANDRO VOLTA,RODRIGUEZ PEÑA 551,CIUDAD DE BUENOS AIRES,250,259,10,,3500,-34.601734,-58.383791
27,1,1,11,32601,ESC Nº9 FAMILIA DE CABEZON,TTE GRAL PERON 1140,CIUDAD DE BUENOS AIRES,260,264,5,,1750,-34.606204,-58.382642
28,1,1,11,32603,INST SANTA ROSA,BARTOLOME MITRE 1655 S/N,CIUDAD DE BUENOS AIRES,265,273,9,,3150,-34.607832,-58.389927
29,1,1,11,32604,UNIVERSIDAD DEL MUSEO SOCIAL ARGENTINO,CORRIENTES AV 1723,CIUDAD DE BUENOS AIRES,274,281,8,,2800,-34.606204,-58.382642
26,1,1,11,32606,ESC Nº5 RODRIGUEZ PEÑA,RODRIGUEZ PEÑA 747,CIUDAD DE BUENOS AIRES,282,295,14,,4900,-34.60037,-58.391419
30,1,1,12,32608,COLEGIO DON BOSCO,SOLIS 252 / MORENO S/N,CIUDAD DE BUENOS AIRES,296,310,15,,5250,-34.612124,-58.390315
