DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
ADOLFO ALSINA,CENTRO DE FORMACIÓN PROFESIONAL N° 401,COLON 664,9001,9001,1
ADOLFO GONZALES CHAVES,INSTITUTO ELICAGARAY,J. ELICAGARAY 175,9001,9001,424
ALBERTI,ESCUELA ESPECIAL 2,L N ALEM NRO 179 E SAN MARTIN Y ALBERTI,9001,9001,10
ALMIRANTE BROWN,ESCUELA ES N°69,CORDERO 641,9001,9002,17
ALMIRANTE BROWN,CENTRO DE FORM.LABORAL N°1,EREZCANO 1262,9003,9005,18
ALMIRANTE BROWN,ESCUELA DE ADULTOS N° 705,FIGUEROA 781,9006,9009,19
ALMIRANTE BROWN,ESCUELA EP N°65,26 MZ. 7 S/N E/ 9 Y 7,9010,9013,19
ALMIRANTE BROWN,ESCUELA ES N°43,BERMUDEZ N° 970,9014,9016,20
ALMIRANTE BROWN,COLEGIO SUPERIOR VICTORIA,JULIAN ALVAREZ 292,9017,9023,22
ALMIRANTE BROWN,INSTITUTO M. DEF. DE GLEW,SASTRE N° 837,9024,9027,22
ALMIRANTE BROWN,ESCUELA ES N°8,SALABERRY 345,9028,9032,0018A
ALMIRANTE BROWN,JARDIN DE INFANTES N°907,PTE. PERON 351,9033,9035,20
ALMIRANTE BROWN,ESCUELA ES N°52,P. DE MICHELIS 907,9036,9038,0021A
ALMIRANTE BROWN,INSTITUTO DON ORIONE,VENANCIO FLORES 4298,9039,9041,0022A
ALMIRANTE BROWN,ESCUELA ES N°19,2 DE ABRIL N° 3196,9042,9043,19
ARRECIFES,ESCUELA  ES. N° 2,URQUIZA 612,9001,9001,117
AVELLANEDA,INSTITUTO MUNIC. DE TAETRO AVELLAN,ALSINA N° 157,9001,9002,23
AVELLANEDA,ESCUELA EP N°11,CHACABUCO 771,9003,9004,24
AVELLANEDA,JARDIN DE INFANTES DON ORIONE,ESTEVEZ 688,9005,9006,25
AVELLANEDA,JARDIN DE INFANTES MUNICIPAL N°25,M. ESTEVEZ 1120,9007,9007,26
AVELLANEDA,JARDIN DE INFANTES N°905,ELIZALDE 12,9008,9010,27
AVELLANEDA,INSTITUTO MODELO DEL SUR,PALAA 530,9011,9012,23
AVELLANEDA,JARDIN DE INFANTES N°909,MEJICO 862,9013,9014,33
AVELLANEDA,JARDIN DE INFANTES MUNICIPAL N°18,LIMAY 1605,9015,9016,34
AVELLANEDA,ESCUELA ES N°12,PITAGORAS 1450,9017,9024,38
AVELLANEDA,CTRO.EDUC.COMPLEMENTARIO N°123,OYUELA 1975,9025,9028,39
AVELLANEDA,JARDIN DE INFANTES N°929,LA BLANQUEADA 4434,9029,9031,39
AVELLANEDA,ESCUELA ES N°8,RONDEAU 1910,9032,9039,40
AYACUCHO,ESCUELA EP N°4/ES N°8,AV. SOLANET N° 1303,9001,9001,46
AZUL,ESCUELA EST N°2,COLON 520,9001,9001,60
BAHIA BLANCA,INSTITUTO SUP.FORMAC.D.Y T.P.GOYENA,COLON 446,9001,9009,73
BAHIA BLANCA,COLEGIO JOSE DE SAN MARTIN,SAAVEDRA 750,9010,9014,72
BAHIA BLANCA,CENTRO DE FORMACIÓN PROFESIONAL N° 402,NECOCHEA 1015,9015,9015,76
BAHIA BLANCA,ESCUELA ES N°4,PRINGLES 99,9016,9016,80
BAHIA BLANCA,CENTRO DE FORMACIÓN PROFESIONAL N° 404,DEAN FUNES 280,9017,9017,88
BAHIA BLANCA,ESCUELA EP N°21,BRIHUEGA 3900,9018,9018,92
BALCARCE,JARDIN DE INFANTES N° 917,43 NRO 1300 E 48 Y 46,9001,9001,98
BARADERO,ESCUELA  EP N°16/ES N°6,RENE SIMON2942,9001,9001,105
BENITO JUAREZ,ESCUELA EP N°3,CATAMARCA 300,9001,9001,436
BERAZATEGUI,JARDIN DE INFANTES N°943,129 A N° 311,9001,9005,789
BERAZATEGUI,JARDIN DE INFANTES N°927,132 N° 2833,9006,9007,790
BERAZATEGUI,ESCUELA ES N°3,61 N° 5756,9008,9008,792
BERAZATEGUI,ESCUELA EDUC.ESPECIAL N°503,19 E/102 Y 104 S/N,9009,9010,0789A
BERAZATEGUI,INSTITUTO SANTA CECILIA,21 N° 3740,9011,9014,0789F
BERAZATEGUI,ESCUELA CRISTIANA,BELGRANO N° 4644,9015,9018,0789C
BERAZATEGUI,CENTRO DE FORMACIÓN PROFESIONAL N° 403,31 N° 4292,9019,9020,0789E
BERAZATEGUI,ESCUELA EP N°10,CNO. GRAL. BELGRANO 4458,9021,9021,0790A
BERAZATEGUI,ESCUELA EP N°28,75 S/N E/119 Y CNO. GRAL. BELGRANO,9022,9022,0792A
BERAZATEGUI,ESCUELA PRIMARIA COOP.DEL SUR,522 N° 1930,9023,9024,0792B
BERAZATEGUI,INSTITUTO M.MORENO,56 N° 4870,9025,9026,792
BERAZATEGUI,ESCUELA EP N°17,153 N° 2811,9027,9027,0792D
BERISSO,MARTIN FIERRO,165 E/ 37 Y 38,9001,9001,511
BERISSO,PADRE CARLOS CAJADE,154 E/ 13 Y 14,9002,9003,513
BERISSO,EES N°11,151 E/ 8 Y 9,9004,9007,513
BOLIVAR,ESCUELA EST N°1,CENTENARIO Y PROF. CASTELLA,9001,9001,125
BRAGADO,ESCUELA EP. 35/ES NRO 9,BAIGORRIA N° 550 E AZURDUY Y AVELLANEDA,9001,9001,136
BRANDSEN,UNION VECINAL Y FOMENTO GOMEZ,TRUCCO Y A. GAGGIO  ,9001,9002,151
CAMPANA,ESCUELA EP N°9/ES N°23,BERUTTI 75 E/COSTA Y DELLEPIANE,9001,9004,155
CAÑUELAS,JARDIN DE INFANTES SAGRADA FAMILIA,BASAVILBASO N° 331,9001,9002,157
CAÑUELAS,ESCUELA ES N°1 ,SAN MARTIN E/ PEREDA Y BELGRANO,9003,9003,0158A
CAPITAN SARMIENTO,ESCUELA  EP. N° 11,SARMIENTO N° 605,9001,9001,121
CARLOS CASARES,MUNICIPALIDAD CARLOS CASARES,MONSEÑOR DE ANDREA N°25,9001,9001,164
CARLOS TEJEDOR,INTEDENCIA MUNICIPAL,A.H. ALMIRON 301,9001,9001,169
CARMEN DE ARECO,MUNICIPALIDAD DE CARMEN DE ARECO,MORENO 541,9001,9001,175
CASTELLI,MUNICIPALIDAD,AV 25 DE MAYO N° 205 E SAN MARTIN Y SARM,9001,9001,185
CHACABUCO,ESCUELA EP N°50,BUENOS AIRES 479,9001,9002,189
CHASCOMUS,ESCUELA EP. N° 3,SAN LORENZO Y JULIAN QUINTANA,9001,9001,201
CHIVILCOY,MUNICIPALIDAD CHIVILCOY,25 DE MAYO N°27,9001,9002,211
COLON,MUNICIPALIDAD DE COLON,51 N°800,9001,9001,230
