escuela,direccion,localidad,distrito_nro,ditrito_name,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,georeferencia
INST EDUC NTRA SEÑORA,INCA MANCO 3450,,4,CORDOBA,1,CAPITAL,4B,VILLA REVOL,19,246,264,6536,
ESC EJERCITO ARGENTINO,CASTAÑARES  470,,4,CORDOBA,1,CAPITAL,12F,JOSE HERNANDEZ,8,2385,2392,2744,
ESC PANAMERICANA,SOTO   919,,4,CORDOBA,1,CAPITAL,5,ALTAMIRA,9,349,357,3058,
ESC   RABINDRANAT TAGORE,OCARINA 1613,,4,CORDOBA,1,CAPITAL,8,LA FLORESTA NORTE,3,897,899,784,
COL NICOLAS BERROTARAN,ELIAS YOFRE 1095,,4,CORDOBA,1,CAPITAL,4B,VILLA REVOL,11,274,284,3775,
ESC B DE MONTEAGUDO,SAN LUIS  345,,4,CORDOBA,1,CAPITAL,11E,LOS PLATANOS,12,1855,1866,4152,
INST ESCUTI,NAZARET  3399,,4,CORDOBA,1,CAPITAL,9,ESCOBAR,10,1003,1012,3284,
ESC   SANTISIMA TRINIDAD,BLAMEY LAFORE 1248,,4,CORDOBA,1,CAPITAL,11D,LOS NARANJOS,8,1847,1854,2736,
CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,,4,CORDOBA,1,CAPITAL,1,SECCIONAL PRIMERA,7,1,7,2401,
ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,,4,CORDOBA,1,CAPITAL,1,SECCIONAL PRIMERA,12,8,19,4116,
COL NAC DE MONSERRAT,OBISPO TREJO 294,,4,CORDOBA,1,CAPITAL,1,SECCIONAL PRIMERA,18,20,37,6158,
ESC JERONIMO LUIS DE CABRERA,SANTA ROSA 650,,4,CORDOBA,1,CAPITAL,3,SECCIONAL TERCERA,15,66,80,5175,
IPEM N° 270 GRAL M BELGRANO,DEAN FUNES 850,,4,CORDOBA,1,CAPITAL,3,SECCIONAL TERCERA,11,81,91,3795,
ESC SANTO TOMAS,CASEROS 745,,4,CORDOBA,1,CAPITAL,3,SECCIONAL TERCERA,8,92,99,2760,
ESC NORMAL ALEJANDRO CARBO,AV COLON 951,,4,CORDOBA,1,CAPITAL,3,SECCIONAL TERCERA,13,100,112,4474,
COL NACIONAL DEAN FUNES,PERU 10,,4,CORDOBA,1,CAPITAL,4,NUEVA CORDOBA,20,126,145,6900,
IPET N°66 DR JOSE A BALSEIRO,HIPOLITO YRIGOYEN 258,,4,CORDOBA,1,CAPITAL,4,NUEVA CORDOBA,14,146,159,4830,
ESC SAN FRANCISCO DE ASIS,GUARDADO 184,,4,CORDOBA,1,CAPITAL,4A,PUEBLO LAS FLORES,30,209,238,10351,
COL 20 DE JUNIO,BV DEL COMERCIO 835,,4,CORDOBA,1,CAPITAL,4B,VILLA REVOL,7,239,245,2408,
IPEN 310- PUERTO ARGENTINO,LUDUEÑA Y SARGENTO RIOS,,4,CORDOBA,1,CAPITAL,4C,INAUDI,8,291,298,2656,
ESC ESTANISLAO DEL CAMPO,ESTADOS UNIDOS Y RIO PRIMERO,,4,CORDOBA,1,CAPITAL,5,ALTAMIRA,5,358,362,1695,
ELENA LOPEZ LALLANA,AGUSTIN GARZON 5600,,4,CORDOBA,1,CAPITAL,5A,COLONIA LOLA,10,369,378,3324,
ESC PROVINCIA DE LA RIOJA,JUNIN 3480,,4,CORDOBA,1,CAPITAL,5C,EMPALME,12,385,396,4164,
ESC VICTOR MERCANTE,CAUCETE 4008,,4,CORDOBA,1,CAPITAL,5C,EMPALME,11,397,407,3817,
ESC JUAN M DE PUEYRREDON,ANCASTI 4555,,4,CORDOBA,1,CAPITAL,5C,EMPALME,7,408,414,2429,
