escuela,direccion,barrio,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,ciudad,provincia,pais,geo,Latitud,Longitud,Encontrado,Calidad,Origen
INST EDUC NTRA SEÑORA,INCA MANCO 3450,B°JARDIN ESPINOSA,1,CAPITAL,4B,VILLA REVOL,19,246,264,6536,Córdoba,Córdoba,Argentina,"INCA MANCO 3450, Córdoba, Córdoba, Argentina",-31.4544491,-64.1744191,"Inca Manco 3450, X5014HMB Córdoba, Argentina",Match,Google
ESC EJERCITO ARGENTINO,CASTAÑARES  470,B°JARDIN DEL PILAR,1,CAPITAL,12F,JOSE HERNANDEZ,8,2385,2392,2744,Córdoba,Córdoba,Argentina,"CASTAÑARES  470, Córdoba, Córdoba, Argentina",-31.4064306,-64.1512363,"Castañares 470, Córdoba, Argentina",Match,Google
ESC PANAMERICANA,SOTO   919,B°ACOSTA,1,CAPITAL,5,ALTAMIRA,9,349,357,3058,Córdoba,Córdoba,Argentina,"SOTO   919, Córdoba, Córdoba, Argentina",-31.4208056,-64.1255297,"Soto 919, X5006HZE Córdoba, Argentina",Match,Google
ESC   RABINDRANAT TAGORE,OCARINA 1613,B° V CLAUDINA,1,CAPITAL,8,LA FLORESTA NORTE,3,897,899,784,Córdoba,Córdoba,Argentina,"OCARINA 1613, Córdoba, Córdoba, Argentina",-31.3896804,-64.1232075,"Ocarina 1613, Córdoba, Argentina",Match,Google
COL NICOLAS BERROTARAN,ELIAS YOFRE 1095,B° JARDIN,1,CAPITAL,4B,VILLA REVOL,11,274,284,3775,Córdoba,Córdoba,Argentina,"ELIAS YOFRE 1095, Córdoba, Córdoba, Argentina",-31.4508053,-64.1794041,"Elías Yofre 1095, Córdoba, Argentina",Match,Google
ESC B DE MONTEAGUDO,SAN LUIS  345,,1,CAPITAL,11E,LOS PLATANOS,12,1855,1866,4152,Córdoba,Córdoba,Argentina,"SAN LUIS  345, Córdoba, Córdoba, Argentina",-31.4218363,-64.1916494,"San Luis 345, Córdoba, Argentina",Match,Google
INST ESCUTI,NAZARET  3399,,1,CAPITAL,9,ESCOBAR,10,1003,1012,3284,Córdoba,Córdoba,Argentina,"NAZARET  3399, Córdoba, Córdoba, Argentina",-31.3902179,-64.2303807,"Nazaret 3399, Córdoba, Argentina",Match,Google
ESC   SANTISIMA TRINIDAD,BLAMEY LAFORE 1248,,1,CAPITAL,11D,LOS NARANJOS,8,1847,1854,2736,Córdoba,Córdoba,Argentina,"BLAMEY LAFORE 1248, Córdoba, Córdoba, Argentina",-31.422278,-64.2220809,"Blamey Lafore 1248, X5010AVD Córdoba, Argentina",Match,Google
CENTRO EDUC.NIVEL MEDIO ADULTO,DEAN FUNES 417,,1,CAPITAL,1,SECCIONAL PRIMERA,7,1,7,2401,Córdoba,Córdoba,Argentina,"DEAN FUNES 417, Córdoba, Córdoba, Argentina",-31.414351,-64.1897475,"Deán Funes 417, X5000AAI Córdoba, Argentina",Match,Google
ESC NUESTRA SEÑORA DEL HUERTO,BELGRANO 269,,1,CAPITAL,1,SECCIONAL PRIMERA,12,8,19,4116,Córdoba,Córdoba,Argentina,"BELGRANO 269, Córdoba, Córdoba, Argentina",-31.4179066,-64.1894514,"Belgrano 269, X5000JQE Córdoba, Argentina",Match,Google
