Establecimiento,Direccion,Mesas,Mesa desde,Mesa Hasta,electores,ID,Nombre Seccion,Nombre Circuito,Seccion,Circuito,obs,Barrio,Ciudad,to-geo,Latitud,Longitud,Ubicacion de Google,Estado Geolocalizacion,Geolocalizador
INST. SEC. COM. SAN JOSE,BV BAUTISTA BOIRO 718,5,4313,4317,1648,6-74,General San Martín,ARROYO CABRAL,6,74,,,ARROYO CABRAL,"BV BAUTISTA BOIRO 718, ARROYO CABRAL, Córdoba, Argentina","42,647476","-8,8833538","Boiro, A Coruña, Spain",Partial Match,Google
ESCUELA M. MORENO,JUSTINIANO CELIZ HEREDIA 650,8,3544,3551,2767,3-29,Colón,COLONIA CAROYA,3,29,,,COLONIA CAROYA,"JUSTINIANO CELIZ HEREDIA 650, COLONIA CAROYA, Córdoba, Argentina","9,9981413","-84,1197643","Heredia Province, Heredia, Costa Rica",Partial Match,Google
INST BERNARDO D'ELIA,ASUNCION B°LA QUINTA 440,15,5489,5503,5214,12-156,Punilla,VILLA CARLOS PAZ,12,156,,,VILLA CARLOS PAZ,"ASUNCION B°LA QUINTA 440, VILLA CARLOS PAZ, Córdoba, Argentina","-25,2637399","-57,575926","Asuncion, Paraguay",Partial Match,Google
ESC.PROV. SAN LUIS,TUCUMAN 225,5,4275,4279,1589,5-66,General Roca,MATTALDI,5,66,,,MATTALDI,"TUCUMAN 225, MATTALDI, Córdoba, Argentina","-26,8082848","-65,2175903","San Miguel de Tucumán, Tucumán, Argentina",Partial Match,Google
IPEM 390,TUCUMAN S/N,6,3316,3321,1822,2-23,Calamuchita,VILLA YACANTO,2,23,,,VILLA YACANTO,"TUCUMAN S/N, VILLA YACANTO, Córdoba, Argentina","-26,8082848","-65,2175903","San Miguel de Tucumán, Tucumán, Argentina",Partial Match,Google
IPEM N° 299-DR S E NAUMCHIK,SANTIAGO DEL ESTERO ESQ.FRAGUEIRO 973,7,8007,8013,2410,23-336,Tercero Arriba,ALMAFUERTE,23,336,,,ALMAFUERTE,"SANTIAGO DEL ESTERO ESQ.FRAGUEIRO 973, ALMAFUERTE, Córdoba, Argentina","-27,7833574","-64,264167","Santiago del Estero, Santiago del Estero Province, Argentina",Partial Match,Google
ESC.MARTIN GUERRICO,CORRIENTES Y LA RIOJA,7,4890,4896,2290,8-118,Juárez Celman,UCACHA,8,118,,,UCACHA,"CORRIENTES Y LA RIOJA, UCACHA, Córdoba, Argentina","-29,4134538","-66,8564579","La Rioja, La Rioja Province, Argentina",Partial Match,Google
ESC.PROV. 25 DE MAYO,LA RIOJA 226,9,4343,4351,2917,6-79,General San Martín,LA PLAYOSA,6,79,,,LA PLAYOSA,"LA RIOJA 226, LA PLAYOSA, Córdoba, Argentina","-29,4134538","-66,8564579","La Rioja, La Rioja Province, Argentina",Partial Match,Google
ESC.PROVINCIA DE BS.AIRES,MARIANO MORENO 220,8,4717,4724,2625,7-99,Ischilín,QUILINO ESTACION,7,99,,,QUILINO ESTACION,"MARIANO MORENO 220, QUILINO ESTACION, Córdoba, Argentina","-30,2150228","-64,499591","Quilino, Cordoba, Argentina",Partial Match,Google
ESC.AMANDA SUAREZ CORDOBA,SANTA ROSA ESQ. AMADEO SABATTINI,7,4706,4712,2407,7-95,Ischilín,DEAN FUNES,7,95,,,DEAN FUNES,"SANTA ROSA ESQ. AMADEO SABATTINI, DEAN FUNES, Córdoba, Argentina","-30,4130476","-64,3482794","Amadeo Sabatini, Dean Funes, Córdoba, Argentina",Partial Match,Google
ESC PERITO FRANCISCO MORENO,DEAN FUNES Y HEROES ANONIMOS S/N,9,5732,5740,3089,13-162,Río Cuarto,ALCIRA,13,162,,,ALCIRA,"DEAN FUNES Y HEROES ANONIMOS S/N, ALCIRA, Córdoba, Argentina","-30,4240924","-64,349403","Deán Funes, Cordoba, Argentina",Partial Match,Google
ESC NICOLAS AVELLANEDA,DEAN FUNES ESQ CORRIENTES,5,4209,4213,1663,4-56,Cruz del Eje,SOTO,4,56,,,SOTO,"DEAN FUNES ESQ CORRIENTES, SOTO, Córdoba, Argentina","-30,4240924","-64,349403","Deán Funes, Cordoba, Argentina",Partial Match,Google
ESC.M.J.G.DE BELGRANO,JERONIMO L DE CABRERA 451,10,4666,4675,3459,7-95,Ischilín,DEAN FUNES,7,95,,,DEAN FUNES,"JERONIMO L DE CABRERA 451, DEAN FUNES, Córdoba, Argentina","-30,4264324","-64,3481338","Domingo Cabrera 451, Dean Funes, Córdoba, Argentina",Partial Match,Google
ESCUELA M. GUEMES,CALLE PUBLICA S/N RUTA PROV A 175,3,4158,4160,997,4-50,Cruz del Eje,MEDIA NARANJA,4,50,,,MEDIA NARANJA,"CALLE PUBLICA S/N RUTA PROV A 175, MEDIA NARANJA, Córdoba, Argentina","-30,6440433","-64,9282564","Media Naranja, Córdoba, Argentina",Partial Match,Google
ESC PROV MANUEL BELGRANO,CAMINO VIEJO S/N,4,4145,4148,1383,4-45,Cruz del Eje,EL BRETE,4,45,,,EL BRETE,"CAMINO VIEJO S/N, EL BRETE, Córdoba, Argentina","-30,673429","-64,8730364","El Brete, Córdoba, Argentina",Partial Match,Google
IPETYM N° 74 FRAY M ESQUIU,BV ALLENDE S/N LAS FLORES,7,8320,8326,2372,24-359,Totoral,VILLA DEL TOTORAL,24,359,,,VILLA DEL TOTORAL,"BV ALLENDE S/N LAS FLORES, VILLA DEL TOTORAL, Córdoba, Argentina","-30,70619","-64,0727852","Boulevard Allende, Villa del Totoral, Córdoba, Argentina",Partial Match,Google
ESC D VELEZ SARSFIELD,EMILIO F OLMOS 375,11,7426,7436,3781,20-304,San Justo,MORTEROS,20,304,,,MORTEROS,"EMILIO F OLMOS 375, MORTEROS, Córdoba, Argentina","-30,7113387","-62,0065703","Morteros, Cordoba, Argentina",Partial Match,Google
IPEM N° 253,ALEM ESQ DOMINGO MATEU,16,4066,4081,5534,4-44,Cruz del Eje,CRUZ DEL EJE,4,44,,,CRUZ DEL EJE,"ALEM ESQ DOMINGO MATEU, CRUZ DEL EJE, Córdoba, Argentina","-30,7350021","-64,7914988","D. Matheu, Cruz del Eje, Córdoba, Argentina",Partial Match,Google
ESCUELA PROV.M. MORENO,PUBLICA S/N,3,4059,4061,712,4-42,Cruz del Eje,BAÑADO DE SOTO,4,42,,,BAÑADO DE SOTO,"PUBLICA S/N, BAÑADO DE SOTO, Córdoba, Argentina","-30,7786751","-65,0496521","Bañado de Soto, Córdoba, Argentina",Partial Match,Google
ESC JUANA PAULA MANSO,CALLE PUBLICA S/N,1,4181,4181,60,4-54A,Cruz del Eje,CANTERAS QUILPO,4,54A,,,CANTERAS QUILPO,"CALLE PUBLICA S/N, CANTERAS QUILPO, Córdoba, Argentina","-30,8333302","-64,6666718","Canteras Quilpo, Córdoba, Argentina",Partial Match,Google
E.N.E.T. N°1,JUAN BAUTISTA ALBERDI 2200,5,4204,4208,1675,4-56,Cruz del Eje,SOTO,4,56,,,SOTO,"JUAN BAUTISTA ALBERDI 2200, SOTO, Córdoba, Argentina","-30,8539263","-64,9934681","Villa de Soto, Cordoba, Argentina",Partial Match,Google
INSTITUTO SANTO DOMINGO,JOSE IGNACIO PERALTA 249,4,4200,4203,1343,4-56,Cruz del Eje,SOTO,4,56,,,SOTO,"JOSE IGNACIO PERALTA 249, SOTO, Córdoba, Argentina","-30,8539263","-64,9934681","Villa de Soto, Cordoba, Argentina",Partial Match,Google
IPETIN 262 BELISARIO ROLDAN,DR PITT FUNES 547,9,7243,7251,3034,20-282,San Justo,BRINKMANN,20,282,,,BRINKMANN,"DR PITT FUNES 547, BRINKMANN, Córdoba, Argentina","-30,8678702","-62,0346209","Dr. Funes, Brinkmann, Córdoba, Argentina",Partial Match,Google
IPEM N° 344,RUTA PROVI  N 15 S/N,7,6878,6884,2356,18-261,San Alberto,BROCHERO,18,261,,,BROCHERO,"RUTA PROVI  N 15 S/N, BROCHERO, Córdoba, Argentina","-30,9579327","-65,0660546","S/N, RP15 15, Córdoba, Argentina",Partial Match,Google
I.P.E.T.N° 69  JUANA MANSO,PERU 212,13,3608,3620,4511,3-33,Colón,JESUS MARIA,3,33,,,JESUS MARIA,"PERU 212, JESUS MARIA, Córdoba, Argentina","-30,9815529","-64,0957996","Jesús María, Cordoba, Argentina",Partial Match,Google
ESC.PROV.1ER.TTE.MORANDINI,CHILE -SAN JOSE OBRERO 222,12,3634,3645,4157,3-33,Colón,JESUS MARIA,3,33,,,JESUS MARIA,"CHILE -SAN JOSE OBRERO 222, JESUS MARIA, Córdoba, Argentina","-30,9815529","-64,0957996","Jesús María, Cordoba, Argentina",Partial Match,Google
ESC.PROVC.F.O. DE OCAMPO,AV. DR. FRANCISCO N. DE LAPRIDA 649,15,3646,3660,5199,3-33,Colón,JESUS MARIA,3,33,,,JESUS MARIA,"AV. DR. FRANCISCO N. DE LAPRIDA 649, JESUS MARIA, Córdoba, Argentina","-30,9815587","-64,0954596","Av. Laprida 649, Jesus María, Córdoba, Argentina",Partial Match,Google
INST BERNARDINO RIVADAVIA,SARMIENTO 217,8,7460,7467,2738,20-305,San Justo,PORTEÑA,20,305,,,PORTEÑA,"SARMIENTO 217, PORTEÑA, Córdoba, Argentina","-31,0139185","-62,0619979","Porteña, Cordoba, Argentina",Partial Match,Google
