distrito_nro,escuela_nro,escuela,direccion,circuito_nro,seccion_nro,localidad,desde,hasta,cant_mesas,latitud,longitud
1,32493,ESC Nº26 HIPOLITO YRIGOYEN,SAN JUAN AV 353,1,1,CIUDAD DE BUENOS AIRES,1,12,12,,
1,32501,ESC Nº3 BERNARDINO RIVADAVIA,BOLIVAR 1235,1,1,CIUDAD DE BUENOS AIRES,21,30,10,,
1,32498,INST MARIA AUXILIADORA,AV JUAN DE GARAY 556 S/N,1,1,CIUDAD DE BUENOS AIRES,13,20,8,,
1,32518,COLEGIO NAC Nº7 J M PUEYRREDON,CHACABUCO 922,2,1,CIUDAD DE BUENOS AIRES,48,53,6,,
1,32509,ESC GUILLERMO RAWSON,HUMBERTO I 343,2,1,CIUDAD DE BUENOS AIRES,39,47,9,,
1,32505,ESC Nº1 VALENTIN GOMEZ,INDEPENDENCIA AV 758,2,1,CIUDAD DE BUENOS AIRES,31,38,8,,
1,32521,ESC Nº21 HIPOLITO VIEYTES,PERU 946,2,1,CIUDAD DE BUENOS AIRES,54,58,5,,
1,32525,UNIVERSIDAD CATOLICA ARGENTINA,MOREAU DE JUSTO ALICIA AV 1400,3,1,CIUDAD DE BUENOS AIRES,59,65,7,,
1,32529,UNIVERSIDAD CATOLICA ARGENTINA,MOREAU DE JUSTO ALICIA AV 1400,4,1,CIUDAD DE BUENOS AIRES,66,72,7,,
1,32539,ESC DE ED MEDIA Nº6 PADRE C MUGICA,LETONIA / ANT ARGENTINA AV S/N,5,1,CIUDAD DE BUENOS AIRES,90,98,9,,
1,32534,ESC Nº25 BANDERA ARGENTINA,EE UU DEL BRASIL / ANT ARGENTINA AV S/N,5,1,CIUDAD DE BUENOS AIRES,73,89,17,,
1,32556,COLEGIO NAC Nº2 D F SARMIENTO,LIBERTAD 1257,6,1,CIUDAD DE BUENOS AIRES,117,134,18,,
1,32544,ESC DE COM Nº2 D F SARMIENTO,AV PTE MANUEL QUINTANA 7 / 31,6,1,CIUDAD DE BUENOS AIRES,99,116,18,,
1,32559,INST SUPERIOR DE LENGUAS VIVAS,C PELLEGRINI 1515,6,1,CIUDAD DE BUENOS AIRES,135,143,9,,
1,32563,COLEGIO JESUS MARIA,TALCAHUANO 1260,7,1,CIUDAD DE BUENOS AIRES,144,147,4,,
1,32571,UNIV DE CS SOCIALES Y EMPRESARIALES,PARAGUAY 1318,7,1,CIUDAD DE BUENOS AIRES,163,167,5,,
1,32567,USAL FACULTAD DE PSICOLOGIA,M T DE ALVEAR 1335,7,1,CIUDAD DE BUENOS AIRES,148,162,15,,
1,32579,COLEGIO SAN MARON,PARAGUAY 834,8,1,CIUDAD DE BUENOS AIRES,184,192,9,,
1,32575,ESC Nº6 FRENCH Y BERUTI,BASAVILBASO 1295 / JUNCAL 690,8,1,CIUDAD DE BUENOS AIRES,168,183,16,,
1,32589,COLEGIO DE NTRA SEÑORA,ESMERALDA 759,9,1,CIUDAD DE BUENOS AIRES,215,225,11,,
1,32582,ESC Nº13 GRAL SAN MARTIN,SAN MARTIN 458,9,1,CIUDAD DE BUENOS AIRES,193,205,13,,
1,32587,ESC Nº4 DE CATEDRAL J M ESTRADA,RECONQUISTA 461,9,1,CIUDAD DE BUENOS AIRES,206,214,9,,
1,32593,ESC Nº7 PDTE ROCA,LIBERTAD 581,10,1,CIUDAD DE BUENOS AIRES,226,235,10,,
1,32597,ESC Nº8 NICOLAS AVELLANEDA,TALCAHUANO 680,10,1,CIUDAD DE BUENOS AIRES,236,249,14,,
1,32599,ESC TEC Nº19 ALEJANDRO VOLTA,RODRIGUEZ PEÑA 551,10,1,CIUDAD DE BUENOS AIRES,250,259,10,,
1,32606,ESC Nº5 RODRIGUEZ PEÑA,RODRIGUEZ PEÑA 747,11,1,CIUDAD DE BUENOS AIRES,282,295,14,,
1,32601,ESC Nº9 FAMILIA DE CABEZON,TTE GRAL PERON 1140,11,1,CIUDAD DE BUENOS AIRES,260,264,5,,
1,32603,INST SANTA ROSA,BARTOLOME MITRE 1655 S/N,11,1,CIUDAD DE BUENOS AIRES,265,273,9,,
