mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1,https://datosoficiales.com.ar/resultados/CO/1/112/1/1/INT.json,CO.1.112.1.1,39,1,2019-05-12 21:50:01,Mesa,229,215,100.0,1,2,2,0,5,49,13,56,50,1,12,1,0,8,16,0,9,5,INT,67.3529,14
2,https://datosoficiales.com.ar/resultados/CO/1/112/1/2/INT.json,CO.1.112.1.2,55,1,2019-05-12 23:10:01,Mesa,214,203,100.0,2,1,1,0,10,47,10,47,51,0,12,0,2,8,14,0,4,7,INT,62.3906,11
3,https://datosoficiales.com.ar/resultados/CO/1/112/1/3/INT.json,CO.1.112.1.3,46,1,2019-05-12 22:25:01,Mesa,205,200,100.0,3,4,3,0,6,54,6,49,38,1,11,0,4,13,11,0,5,0,INT,59.9415,5
4,https://datosoficiales.com.ar/resultados/CO/1/112/1/4/INT.json,CO.1.112.1.4,60,1,2019-05-12 23:35:01,Mesa,217,207,100.0,4,0,2,1,9,56,5,53,43,1,16,1,0,3,17,0,10,0,INT,63.4502,10
5,https://datosoficiales.com.ar/resultados/CO/1/112/1/5/INT.json,CO.1.112.1.5,35,1,2019-05-12 21:30:01,Mesa,231,225,100.0,5,3,2,1,5,55,10,75,39,0,14,1,0,8,12,0,6,0,INT,66.763,6
6,https://datosoficiales.com.ar/resultados/CO/1/112/1/6/INT.json,CO.1.112.1.6,35,1,2019-05-12 21:30:01,Mesa,225,222,100.0,6,3,0,1,2,65,18,38,53,0,13,0,2,12,15,3,0,0,INT,65.5976,3
7,https://datosoficiales.com.ar/resultados/CO/1/112/1/7/INT.json,CO.1.112.1.7,42,1,2019-05-12 22:05:01,Mesa,216,209,100.0,7,4,5,0,8,63,17,48,28,0,15,0,1,8,12,0,3,4,INT,63.1578,7
8651,https://datosoficiales.com.ar/resultados/CO/1/112/1/8651/INT.json,CO.1.112.1.8651,29,1,2019-05-12 21:00:01,Mesa,185,179,100.0,8651,3,2,3,2,23,14,83,17,0,8,0,0,5,19,0,6,0,INT,61.6666,6
8652,https://datosoficiales.com.ar/resultados/CO/1/112/1/8652/INT.json,CO.1.112.1.8652,44,1,2019-05-12 22:15:01,Mesa,191,187,100.0,8652,2,1,0,1,31,6,94,14,0,7,0,0,1,30,0,4,0,INT,63.6666,4
8653,https://datosoficiales.com.ar/resultados/CO/1/112/1/8653/INT.json,CO.1.112.1.8653,26,1,2019-05-12 20:45:01,Mesa,138,132,100.0,8653,1,0,1,2,18,6,77,9,0,1,0,2,3,12,0,6,0,INT,60.7929,6
113,https://datosoficiales.com.ar/resultados/CO/1/112/10/113/INT.json,CO.1.112.10.113,52,1,2019-05-12 22:55:02,Mesa,247,234,100.0,113,1,5,1,6,56,16,73,47,0,13,0,0,9,7,0,2,11,INT,71.3872,13
114,https://datosoficiales.com.ar/resultados/CO/1/112/10/114/INT.json,CO.1.112.10.114,49,1,2019-05-12 22:40:01,Mesa,240,235,100.0,114,3,3,0,10,49,22,68,49,0,14,0,0,8,9,0,5,0,INT,69.7674,5
115,https://datosoficiales.com.ar/resultados/CO/1/112/10/115/INT.json,CO.1.112.10.115,50,1,2019-05-12 22:45:02,Mesa,221,211,100.0,115,4,1,3,4,43,16,65,51,0,9,0,0,7,8,0,5,5,INT,65.5786,10
116,https://datosoficiales.com.ar/resultados/CO/1/112/10/116/INT.json,CO.1.112.10.116,57,1,2019-05-12 23:20:01,Mesa,249,239,100.0,116,4,3,2,4,56,16,60,50,2,16,0,1,11,14,1,9,0,INT,72.5947,10
117,https://datosoficiales.com.ar/resultados/CO/1/112/10/117/INT.json,CO.1.112.10.117,39,1,2019-05-12 21:50:01,Mesa,216,209,100.0,117,2,0,1,5,51,20,59,41,0,13,0,0,12,5,0,7,0,INT,62.9737,7
118,https://datosoficiales.com.ar/resultados/CO/1/112/10/118/INT.json,CO.1.112.10.118,55,1,2019-05-12 23:10:01,Mesa,225,211,100.0,118,6,3,3,7,41,17,59,43,0,14,1,0,8,9,0,13,1,INT,65.2173,14
119,https://datosoficiales.com.ar/resultados/CO/1/112/10/119/INT.json,CO.1.112.10.119,54,1,2019-05-12 23:05:01,Mesa,245,230,100.0,119,5,5,1,4,49,21,57,43,0,15,1,0,14,15,0,15,0,INT,71.4285,15
120,https://datosoficiales.com.ar/resultados/CO/1/112/10/120/INT.json,CO.1.112.10.120,58,1,2019-05-12 23:25:01,Mesa,248,239,100.0,120,1,2,0,5,50,16,74,51,0,12,0,1,9,18,0,6,3,INT,72.5146,9
121,https://datosoficiales.com.ar/resultados/CO/1/112/10/121/INT.json,CO.1.112.10.121,62,1,2019-05-12 23:45:01,Mesa,227,219,100.0,121,1,0,1,7,46,22,55,45,1,16,0,1,12,12,0,8,0,INT,65.7971,8
122,https://datosoficiales.com.ar/resultados/CO/1/112/10/122/INT.json,CO.1.112.10.122,45,1,2019-05-12 22:20:01,Mesa,234,230,100.0,122,1,4,1,6,48,16,62,44,0,19,0,1,21,7,0,1,3,INT,67.826,4
124,https://datosoficiales.com.ar/resultados/CO/1/112/10/124/INT.json,CO.1.112.10.124,93,1,2019-05-13 02:20:01,Mesa,241,230,100.0,124,2,4,0,5,69,6,49,58,0,7,1,0,14,15,0,7,4,INT,69.855,11
125,https://datosoficiales.com.ar/resultados/CO/1/112/10/125/INT.json,CO.1.112.10.125,63,1,2019-05-12 23:50:01,Mesa,230,221,100.0,125,0,0,55,0,47,0,3,22,0,9,50,0,21,14,0,3,6,INT,66.8604,9
1138,https://datosoficiales.com.ar/resultados/CO/1/112/100/1138/INT.json,CO.1.112.100.1138,43,1,2019-05-12 22:10:01,Mesa,229,222,100.0,1138,0,1,0,8,48,14,69,45,0,19,0,2,14,2,0,7,0,INT,66.7638,7
1139,https://datosoficiales.com.ar/resultados/CO/1/112/100/1139/INT.json,CO.1.112.100.1139,36,1,2019-05-12 21:35:02,Mesa,252,248,100.0,1139,1,2,0,6,62,13,83,48,0,15,1,2,13,2,0,4,0,INT,73.9002,4
1140,https://datosoficiales.com.ar/resultados/CO/1/112/100/1140/INT.json,CO.1.112.100.1140,48,1,2019-05-12 22:35:01,Mesa,233,226,100.0,1140,4,3,1,4,54,11,66,38,0,13,0,0,9,23,0,7,0,INT,67.5362,7
1141,https://datosoficiales.com.ar/resultados/CO/1/112/100/1141/INT.json,CO.1.112.100.1141,57,1,2019-05-12 23:20:01,Mesa,246,242,100.0,1141,2,5,2,4,46,19,76,51,0,14,0,0,9,14,0,4,0,INT,71.5116,4
1142,https://datosoficiales.com.ar/resultados/CO/1/112/100/1142/INT.json,CO.1.112.100.1142,61,1,2019-05-12 23:40:01,Mesa,243,231,100.0,1142,3,4,1,6,51,8,73,44,1,15,1,1,6,17,0,12,0,INT,70.2312,12
1143,https://datosoficiales.com.ar/resultados/CO/1/112/100/1143/INT.json,CO.1.112.100.1143,54,1,2019-05-12 23:05:01,Mesa,253,238,100.0,1143,1,3,0,7,44,7,61,33,2,18,11,1,10,40,0,11,4,INT,74.1935,15
1144,https://datosoficiales.com.ar/resultados/CO/1/112/100/1144/INT.json,CO.1.112.100.1144,46,1,2019-05-12 22:25:01,Mesa,243,238,100.0,1144,2,2,1,4,49,11,81,43,1,13,0,2,14,15,0,5,0,INT,70.2312,5
1145,https://datosoficiales.com.ar/resultados/CO/1/112/100/1145/INT.json,CO.1.112.100.1145,39,1,2019-05-12 21:50:01,Mesa,240,230,100.0,1145,2,4,0,8,57,12,77,41,0,7,0,1,11,10,0,10,0,INT,69.9708,10
1146,https://datosoficiales.com.ar/resultados/CO/1/112/100/1146/INT.json,CO.1.112.100.1146,50,1,2019-05-12 22:45:02,Mesa,252,238,100.0,1146,0,4,0,4,62,10,77,46,0,12,1,2,8,12,0,14,0,INT,73.9002,14
1147,https://datosoficiales.com.ar/resultados/CO/1/112/100/1147/INT.json,CO.1.112.100.1147,51,1,2019-05-12 22:50:01,Mesa,243,224,100.0,1147,3,2,1,4,43,10,73,43,0,14,1,1,16,13,0,19,0,INT,70.4347,19
1148,https://datosoficiales.com.ar/resultados/CO/1/112/100/1148/INT.json,CO.1.112.100.1148,55,1,2019-05-12 23:10:01,Mesa,232,225,100.0,1148,1,2,4,3,47,8,81,51,1,7,0,0,11,9,0,7,0,INT,67.2463,7
